RefDes,Side,LocationX (Mil),LocationY (Mil),Rotation,Package,Value
PC2_0,top,2362.2047244094488,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
C10,top,7274.076968503937,3088.582677165354,0,0603,
P222,top,4724.4094488188975,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
U256,top,8359.251968503937,3943.8976377952754,0,QFN20,
J36,top,1531.1023622047244,4448.509173228346,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
LED_0_3,top,4606.299212598426,3045.0787401574803,0,5050,
C22,top,6534.4488188976375,4663.385826771653,0,0603,
C14,top,7251.968503937008,3842.3228346456694,270,0603,
C16,top,3332.6771653543306,3875.787401574803,0,0603,
J39,top,425.1968503937008,4230.708661417323,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
J118,top,6633.0,1580.708661417323,0,VIA_1MM_1.6MM,
J26,top,8422.24409448819,3600.984251968504,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
J73,top,533.4645669291339,3869.0944881889764,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
P227,top,6301.181102362205,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
J122,top,2203.740157480315,3120.0787401574803,0,VIA_1MM_1.6MM,
JP5,top,1968.5039370078741,900.0,0,VIA_1MM_1.6MM,
LED_1_0,top,2244.0944881889764,3832.48031496063,0,5050,
LED_1_7,top,7755.905511811024,3832.48031496063,0,5050,
J35,top,1534.1960236220473,4251.855551181103,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
LED_2_3,top,4606.299212598426,4619.881889763779,0,5050,
J85,top,1534.1960236220473,4087.5984251968503,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
C13,top,6484.251968503937,3875.787401574803,0,0603,
RP_1_3,top,4586.4094488188975,4330.708661417323,270,Through Hole,
J112,top,8047.244094488189,2873.0,0,VIA_1MM_1.6MM,
J55,top,1177.1653543307086,3284.448818897638,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
R29,top,8212.190748031497,3663.7935039370077,90,0603 (1608 metric),75KOhm
J22,top,8401.743700787401,4298.818897637795,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
J2,top,118.11023622047244,4300.0,270,,
P211,top,787.4015748031496,590.5511811023622,0,CAP-PAD-FINGER-LOWER,
J108,top,5117.1259842519685,2929.1338582677167,0,VIA_1MM_1.6MM,
J109,top,5763.779527559055,2836.0,0,VIA_1MM_1.6MM,
RP_0_7,top,7736.0157480314965,3543.3070866141734,270,Through Hole,
P221,top,787.4015748031496,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
J64,top,631.1023622047244,3100.5905511811025,270,VIA_1MM_1.6MM,
J37,top,1531.1023622047244,4548.8468897637795,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
R32,top,8474.986023622047,3618.0128346456695,90,0603,10 kΩ
RP_0_5,top,6161.212598425197,3543.3070866141734,270,Through Hole,
P215,top,787.4015748031496,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
PC2_1,top,3149.6062992125985,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
J76,top,920.2755905511812,4046.4846062992124,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
J41,top,214.56692913385828,3599.999960629921,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
J21,top,8223.435511811023,4132.8740157480315,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
J40,top,218.11023622047244,1600.0,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
U437,top,2060.472440944882,3122.6301968503935,0,SSOP-8,
JRIGHT,top,1574.8031496062993,1181.1023622047244,0,,
J72,top,431.1023622047244,3100.5905511811025,270,VIA_1MM_1.6MM,
PC2_6,top,7086.614173228347,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
J38,top,1531.1023622047244,4351.855551181103,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
LED_2_4,top,5393.700787401574,4619.881889763779,0,5050,
C41,top,1722.0332677165354,3289.3700787401576,0,0603,
J70,top,1231.1023622047244,3902.5590551181103,270,VIA_1MM_1.6MM,
U138,top,2085.6299212598424,164.37007874015748,0,,
RVOL,top,649.4015748031496,4330.708661417323,270,Through Hole,
RP_0_0,top,2224.2047244094488,3543.3070866141734,270,Through Hole,
RP_1_4,top,5373.811023622047,4330.708661417323,270,Through Hole,
J29,top,8223.59405511811,3180.6370078740156,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
